date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-01-14,ABNB,ABNB,131.0571,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,107,14023.11,1071430,https://www.sec.gov/Archives/edgar/data/1559720/000095017025006187/ownership.xml
2025-01-06,ABNB,ABNB,137.0,Mertz Elinor,1938411,Officer (Chief Financial Officer),Sale,6250,856250.0,491238,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003464/ownership.xml
2025-01-06,ABNB,ABNB,134.8794,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,28444,3836509.65,1471556,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003461/ownership.xml
2025-01-06,ABNB,ABNB,135.5787,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,100900,13679890.83,1370656,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003461/ownership.xml
2025-01-06,ABNB,ABNB,136.1798,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,48481,6602132.88,1322175,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003461/ownership.xml
2025-01-06,ABNB,ABNB,137.4648,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,36001,4948870.26,1286174,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003461/ownership.xml
2025-01-06,ABNB,ABNB,138.0743,Gebbia Joseph,1834171,"Director, 10% Owner",Sale,459,63376.1,1285715,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003461/ownership.xml
2025-01-07,ABNB,ABNB,135.35,BALOGH ARISTOTLE N,1216924,Officer (Chief Technology Officer),Sale,700,94745.0,184714,https://www.sec.gov/Archives/edgar/data/1216924/000095017025003458/ownership.xml
2025-01-06,ABNB,ABNB,134.8627,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,4737,638844.61,12532632,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003456/ownership.xml
2025-01-06,ABNB,ABNB,135.5613,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,21948,2975299.41,12510684,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003456/ownership.xml
2025-01-06,ABNB,ABNB,136.1913,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,7076,963689.64,12503608,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003456/ownership.xml
2025-01-06,ABNB,ABNB,137.4603,Chesky Brian,1834152,"Director, Officer (CEO and Chairman), 10% Owner",Sale,4700,646063.41,12498908,https://www.sec.gov/Archives/edgar/data/1559720/000095017025003456/ownership.xml
2025-01-02,ABNB,ABNB,40.18,BALOGH ARISTOTLE N,1216924,Officer (Chief Technology Officer),Exercise or Conversion of Derivative Security,20000,803600.0,205414,https://www.sec.gov/Archives/edgar/data/1216924/000095017025002040/ownership.xml
2025-01-02,ABNB,ABNB,131.87,BALOGH ARISTOTLE N,1216924,Officer (Chief Technology Officer),Sale,20000,2637400.0,185414,https://www.sec.gov/Archives/edgar/data/1216924/000095017025002040/ownership.xml
