,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,2024-12-17,113.0199966430664,114.04000091552734,110.8000030517578,111.02999877929688,12238600
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,2024-12-18,111.3499984741211,116.12000274658205,111.23999786376952,113.33999633789062,12292800
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2024-12-19,111.37000274658205,112.91000366210938,111.25,111.66000366210938,9468500
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,2024-12-20,112.02999877929688,112.97000122070312,110.43000030517578,110.61000061035156,17955300
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,2024-12-23,111.4000015258789,111.8499984741211,110.30999755859376,111.61000061035156,6037200
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,2024-12-24,112.55999755859376,112.73999786376952,111.19000244140624,111.25,2475000
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,2024-12-26,112.5500030517578,113.31999969482422,111.86000061035156,112.12000274658205,4781400
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,2024-12-27,111.5500030517578,112.12000274658205,110.86000061035156,111.81999969482422,4523800
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2024-12-30,110.8000030517578,111.54000091552734,109.83000183105467,110.43000030517578,5716300
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,2024-12-31,111.3499984741211,111.58999633789062,110.66999816894533,110.77999877929688,4757500
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2025-01-02,110.81999969482422,112.1999969482422,110.16999816894533,111.6999969482422,5688100
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2025-01-03,111.16000366210938,111.54000091552734,110.18000030517578,111.37000274658205,5393100
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,2025-01-06,111.0500030517578,112.8499984741211,110.87000274658205,111.47000122070312,6274400
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,2025-01-07,111.38999938964844,113.73999786376952,111.29000091552734,112.1500015258789,7878800
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,2025-01-08,109.76000213623048,111.11000061035156,108.63999938964844,111.0,7805300
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2025-01-10,108.6500015258789,110.54000091552734,107.62000274658205,110.0,8835500
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2025-01-13,108.08000183105467,108.61000061035156,106.72000122070312,107.93000030517578,6690200
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,2025-01-14,108.12000274658205,108.95999908447266,107.61000061035156,108.68000030517578,5501600
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,2025-01-15,108.18000030517578,109.5999984741211,107.98999786376952,109.16999816894533,6296900
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,2025-01-16,106.45999908447266,108.5999984741211,106.16000366210938,108.29000091552734,7872800
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,2025-01-17,107.0199966430664,107.73999786376952,106.54000091552734,106.83000183105467,7144300
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2025-01-21,108.6999969482422,109.4499969482422,106.8000030517578,107.0999984741211,8643700
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2025-01-22,108.80999755859376,109.5500030517578,108.2300033569336,109.5500030517578,8781700
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,2025-01-23,111.04000091552734,111.06999969482422,108.48999786376952,108.5,7608300
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2025-01-24,112.16000366210938,113.38999938964844,110.62999725341795,111.16000366210938,8304500
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,2025-01-27,113.33999633789062,114.08000183105467,111.45999908447266,111.68000030517578,10176900
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,2025-01-28,112.13999938964844,112.95999908447266,111.55999755859376,112.8499984741211,6516800
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2025-01-29,113.19000244140624,114.37999725341795,112.76000213623048,113.5,7607100
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,2025-01-30,113.43000030517578,115.18000030517578,113.12000274658205,114.08999633789062,6236200
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,2025-01-31,113.05999755859376,114.01000213623048,112.76000213623048,113.3000030517578,7797700
